Air Quality,Wind Speed,Temperature,Humidity,Time
123,0,34.7,34.0,2024-05-24 20:15:56.276686
123,0,34.7,34.0,2024-05-24 20:15:56.943210
124,0,34.7,34.0,2024-05-24 20:15:57.716315
124,0,34.7,34.0,2024-05-24 20:15:58.473899
124,0,34.7,34.0,2024-05-24 20:15:59.237384
125,0,34.7,34.0,2024-05-24 20:16:00.019494
125,0,34.7,34.0,2024-05-24 20:16:00.782086
125,0,34.7,34.0,2024-05-24 20:16:01.545048
125,0,34.7,34.0,2024-05-24 20:16:02.315868
126,2,34.7,34.0,2024-05-24 20:16:03.069430
126,2,34.7,34.0,2024-05-24 20:16:03.835137
126,3,34.7,34.0,2024-05-24 20:16:04.600990
128,3,34.7,34.0,2024-05-24 20:16:05.348041
129,4,34.7,34.0,2024-05-24 20:16:06.128393
133,4,34.7,34.0,2024-05-24 20:16:06.889959
132,4,34.7,34.0,2024-05-24 20:16:07.645480
130,4,34.7,34.0,2024-05-24 20:16:08.422295
129,3,34.7,34.0,2024-05-24 20:16:09.185771
129,3,34.7,34.0,2024-05-24 20:16:09.976987
130,0,34.7,34.0,2024-05-24 20:16:10.727624
130,0,34.7,34.0,2024-05-24 20:16:11.473285
130,0,34.7,34.0,2024-05-24 20:16:12.226071
130,0,34.7,34.0,2024-05-24 20:16:13.011497
129,0,34.7,34.0,2024-05-24 20:16:13.764693
